,Title,Categories,Status,Views,Comments,Follows,Introduction,Last Update,Latest Chapter
12,Nam Chủ Và Hậu Cung Đều Dưới Trướng Ta,"Action, Manhua, Truyện Màu",Đang tiến hành,80116,88,2635,,06/09//2021,Chapter 7
13,Chuyện tình Zed x Syndra Phần 4,"Action, Manhwa, Romance, Supernatural",Đang tiến hành,309646,311,1975,"Tiếp nối các Phần trước câu chuyện lần này Zed và Syndra sẽ đưa các đọc giả đến với một cuộc phiêu lưu mới để tìm ra kẻ đứng sau những tác phẩm bằng máu của tên nghệ sỹ điên rồ két tiếng của Ionia. Đồng thời cũng giải quyết nhựng mắc xích của hận thù giữa Phi tiêu và Lời Thì thì thầm giữa máu và bóng tối. Xin mời các bạn đọc giả cùng với đội ngũ dịch truyện chúng mình bước vào câu chuyện ""Chuyện tình Zed và Syndra SS4"" nhé.",06/09//2021,Chapter 22
14,Trở thành nhà thám hiểm đánh bại dungeon bằng bảng kĩ năng ~ .,"Action, Adventure, Fantasy, Shounen",Đang tiến hành,570768,347,8734,"Karaboshi Haruki là người không có sự hiện diện đến mức không thể  nhận ra, và vì vậy anh trở thành một nhà thám hiểm chỉ với mong muốn ""nổi bật"". Một ngày nọ, một ngục tối xuất hiện dưới nhà của anh ở Hokkaido. với việc anh ta có thể dành điểm kỹ năng để tăng sức mạnh của mình. Bạn có thể trở thành một người nổi tiếng bằng cách lặn vào hầm ngục nhà bạn hàng ngày không?",06/09//2021,Chapter 16
15,"Yuukyuu No Gusha Asley No, Kenja No Susume","Action, Adventure, Comedy, Fantasy, Romance, School Life",Đang tiến hành,1169281,505,13063,"Khi Asley còn nhỏ, anh ấy đã thi trượt Học Viện Ma Pháp và bị mọi người xem thường.
Nhưng bằng cách nào đó, anh ấy đã điều chế được thuốc 'Huyền thoại vĩnh cửu', nên anh ấy có một cơ thể vĩnh cửu(không bất tử).
Để trả thù những người đã coi thường anh lúc đó, anh bắt đầu nghiên cứu về ma pháp và ma pháp kiến tạo cổ khác hoàn toàn với những gì cơ ở Học viện. Sau 500 năm nghiên cứu, anh đã trở thành một ma pháp sư già từ lúc nào không hay.
Những người năm xưa chê bai anh đã không còn, mất mục tiêu, Asley quyết định đi du ngoạn với người bạn đồng hành của mình, Pochi để xem thế giới đã khác sao so với 500 năm trước ra sao.
Sau một lẫn ngẫu nhiên cứu người, anh ấy đã vào sống trong Học viện.
Một người đàn ông 500 năm tuổi với thân hình thư sinh, Asley, anh ấy sẽ sống ra sao trong cuộc đời thứ hai của mình?
- Dựa trên Tiểu thuyết",06/09//2021,Chapter 38
16,Tất Cả Châu Bảo Đều Cầu Xin Tôi Trêu Chọc Nó,"Action, Comedy, Mystery, Romance, Truyện Màu",Đang tiến hành,18602,6,621,Điều gì sẽ xảy ra nếu tất cả các đồ trang sức đều biến thành hình người? Sống chung dưới một mái nhà với cô gái là thợ kim hoàn… Buông nam nhân đó ra! Để đó cho tôi!!,06/09//2021,Chapter 10
17,Rettou Gan No Tensei Majutsushi ~ Shiitage Rareta Saikyou No Minashigo Ga Isekai De Musou Suru,"Action, Fantasy, Harem, Manga, Romance",Đang tiến hành,130453,199,5823,"Abel, cậu bé bị gia đình bỏ rơi vì bị xem là ác quỷ. cậu đã lê bước khắp noi trên con đường đầy tuyết và vô tình gặp một đại pháp sư đã về hưu.
tại đây cậu đã được mời vào hội pháp sư nơi cậu có thể thể hiện bản thân mình",06/09//2021,Chapter 7
18,Thiên Mệnh Vi Hoàng,"Chuyển Sinh, Manhwa, Truyện Màu, Xuyên Không",Đang tiến hành,682551,144,5138,,06/09//2021,Chapter 63
19,Ta Tự Thành Hoàng Không Cần Thiên Mệnh,"Action, Adventure, Manhua, Mystery, Truyện Màu, Xuyên Không",Đang tiến hành,1132554,376,7258,"Lục Minh Thư chưa bao giờ tin mệnh. phụ thân tái giá cửa nát nhà tan thời điểm không tin, bị ném đi sơn cốc tự sinh tự diệt thời điểm vẫn là không tin. không có tài nguyên khó mà lúc tu luyện không tin, đối mặt ngàn người chỉ trỏ thời điểm càng là không tin. một chút xíu từ bụi bặm bên trong bò lên, một khi lăng vân, thiên hạ ghé mắt! công đạo đã không đến, ta tự mình đi lấy. vận mệnh nếu không chiếu cố, ta giết ra một con đường sống. thiên mệnh ngại gì, ta tự thành hoàng!",06/09//2021,Chapter 63
20,Bandai Kaname wa Asobitai,"Comedy, Romance, School Life, Shounen, Slice of Life",Đang tiến hành,244668,465,5792,"Vì không có thành viên nên main có thể tập trung vào việc học, Takara Taiyou bước vào nhóm nghiên cứu văn hóa. Tuy nhiên, kẻ thù của anh ta Bandai Kaname cũng đã tham gia cùng một lý do.",06/09//2021,Chapter 21
21,Tôi Trở Thành Gia Sư Của Tên Bạo Chúa,"Fantasy, Historical, Manhwa, Romance, Shoujo, Truyện Màu",Đang tiến hành,2618335,722,26364,"Cô gái xuyên không vào cuốn tiểu thuyết do chính mình làm tác giả! Hoàng tử mù màu nhưng lại nhìn thấy màu đỏ giống như lời tiên tri, đúng hơn là lời nguyền do cha mà anh ta đem lại: ""1 ngày nào đó, khi người bị mắc kẹt trong thế giới đen trắng xuất hiện, ,cả vương quốc sẽ đắm chìm trong máu"". Cô gái xuyên không trở thành họa sĩ vô danh Primabelle có mái tóc màu đỏ. Cô sẽ đi tìm ra nữ chính do chính mình tạo khi ở thế giới kia: 1 cô gái tóc đen với đôi mắt màu đỏ, người có thể giúp hoàng tử. Nhưng chỉ với 2 chi tiết đó làm sao cố có thể tìm được?!
Cô quyết định sẽ tự mình đi tìm vẻ đẹp của hoàng tử!",05/09//2021,Chapter 40
22,Độc Y Đích Nữ,"Cổ Đại, Comedy, Manhua, Ngôn Tình, Romance, Truyện Màu",Đang tiến hành,12866476,926,27394,,05/09//2021,Chapter 233
23,Re:Zero ngoại truyện: Khúc tình ca của Quỷ Kiếm,"Action, Drama, Fantasy, Mystery, Psychological, Romance, Seinen",Đang tiến hành,132925,202,2485,"Khi ác quỷ say đắm thiên thần...Rất lâu về trước, nội chiến đã nổ ra giữa quân đội vương quốc Lugnica và phe Á Nhân. Một vị anh hùng được sinh ra vào ngay thời điểm này, Quỷ Kiếm, Wilhelm Trias. Đây là câu chuyện giữa vị kiếm sĩ huyền thoại và người phụ nữ anh phải lòng.",05/09//2021,Chapter 26
24,"Mairimashita, senpai!","School Life, Seinen, Shoujo",Đang tiến hành,432811,315,3323,"Sau 2 tháng nhập học trường cao trung, Serina chợt nhận ra lời bài hát tình yêu được ai đó viết trên bàn của cô, và lời văn là dường như của một đàn anh năm trên. Sau khi viết những dòng chữ đáp trả, dường như cô đã gặp được senpai năm 2 ấy, Mizukawa.
Ver ngắn hơn: Công cuộc theo đuổi một tên ngớ ngẩn thích nghe nhạc sến súa của một con nhỏ lúc trước từng bảo tên đấy là biến thái=)))",05/09//2021,Chapter 20
25,Đêm Ảo Mộng Cực Lạc,"Đam Mỹ, Mystery, Romance, Shoujo, Truyện Màu",Đang tiến hành,767281,611,3798,"Do lên nhầm tàu điện ngầm, Thời Phỉ vô tình đến được một nơi trước đây cậu chưa từng biết tới, có tên là thành phố Cực Lạc. Sau khi suýt chút nữa bị lạc tại nơi này, Thời Phỉ đã lựa chọn tiếp nhận sự giúp đỡ của 1 thương nhân - Mặc Điên, chuẩn bị trốn khỏi Cực Lạc Thành, nhưng không ngờ rằng, vào 1 đêm trăng tròn, nơi đây đã biến thành địa ngục nhân gian vô cùng đáng sợ, Thời Phỉ phải chịu sự ràng buộc với 2 vị Thành chủ, với Cực Lạc Thành. Và bóng đêm bí ẩn sau lưng dần dần che phủ mặt nước.. ",05/09//2021,Chapter 30
26,Moujuusei Shounen Shoujo,"Ecchi, Manga, Romance, Shounen",Đang tiến hành,649970,686,8805,"Câu chuyện về 1 thằng mặt nồi bỗng dưng may mắn cua được 1 em Miêu Nữ là bạn cùng lớp làm bạn gái. Mọi chuyện sẽ ra sao mời đọc sẽ biết :v
p/s: Bộ này đồng tác giả với Okusama và Kanojo no Akeru Houhou đấy :v :v :v",05/09//2021,Chapter 20
27,"Đăng Tiểu Thuyết, Và Thiếu Nữ Xinh Đẹp Sẽ Là Độc Giả Của Bạn","Comedy, Drama, Harem, Manga, Romance, School Life, Shounen, Slice of Life",Đang tiến hành,184692,214,3765,"Có một trang web tên là ‘Bạn có muốn trở thành tiểu thuyết gia không?” được biết đến với tên gọi Narima. Rindou Routa là một người sử dụng Narima. Một hôm, anh ta nhận được một đánh giá không thương tiếc từ một độc giả tên là AKYY, không hài lòng với anh ta. Tuy nhiên, tối hôm đó, anh thấy trong phòng học có một chiếc điện thoại bị bỏ quên, với cái tên AKNY trên màn hình. Trong khi vẫn còn sốc, đôi mắt của Routa mở to khi nữ chính của học viện, Akaneya Himeko, bước vào và nói,“Ah, đó là điện thoại di động của tôi!”“Chính là côôôô !!”“Gyaaaaaaaaaaa …”",05/09//2021,Chapter 12
28,Siêu Cấp Thôn Phệ Hệ Thống,"Adventure, Magical, Martial Arts, Supernatural, Truyện Màu, Xuyên Không",Đang tiến hành,2310494,538,17218,"Sau khi xuyên việt, Diệp Hiên tình cờ có được hệ thống Thôn Phệ. Không chỉ nuốt chửng được vạn vật, còn có thể đổi được huyết mạch, võ học, thần binh, đan dược, bảo vật... Mạnh không gì cản nổi ""Ngươi còn chọc vào ta, có tin ta nuốt cả Thần Khí Bảo Kiếm của ngươi không?""",05/09//2021,Chapter 51
29,Tiêu Diệt Anh Hùng,"Action, Fantasy, Manhwa, Supernatural, Truyện Màu, Webtoon",Đang tiến hành,113166,99,2793,"Chiến tranh đã kết thúc với thất bại của phản diện. Nhưng giờ đây thế giới đang bị các anh hùng thối nát thống trị, và một trong những anh hùng đó đã giết chết chị gái của Lee Hwa. Tuy không biết ai đã giết chị gái mình, nhưng điều đó với Lee Hwa không quan trọng.Bởi chỉ cần giết từng tên anh hùng rác rưởi một thì hắn chắc chắn sẽ không thể chạy thoát. Lee Hwa từng bước trở thành kẻ phản diện, săn lùng tiêu diệt anh hùng mỗi đêm. ""Tao sẽ giết chết hết chúng mày!"" - Một hành trình báo thù của một cô gái lương thiện đã bắt đầu!",05/09//2021,Chapter 18
30,Nhất Ký Trọng Quyền,"Action, Fantasy, Manhua, Supernatural, Truyện Màu, Webtoon",Đang tiến hành,80574,67,3170,"Lý Hành một sinh viên đại học nghèo khó phải gánh trên mình tài chính của gia đình, một ngày nọ cậu tìm được một công việc dưới sự giúp đỡ của người chủ thầu nhiệt tình. Không ngờ chủ thầu còn có âm mưu khác, Lý Hành bị bán cho băng đảng ngầm, trở thành món hàng sống cho thị trường chợ đen buôn bán nội tạng trường. Trên bàn mổ, Lý Hành tỉnh dậy, chống trả quyết liệt và trốn khỏi bệnh viện của băng đảng ngầm. Bị băng đảng ngầm truy sát, Lý Hành trốn tránh khắp nơi, cùng lúc đó cậu phát hiện cơ thể của bản thân xảy ra biến đổi không ngờ tới khiến nắm đấm của cậu bộc phát sức mạnh không thể đong đếm…",04/09//2021,Chapter 10
31,Linh Giai,"Adventure, Comic, Fantasy, Manhua, Truyện Màu",Đang tiến hành,68389,33,1594,"Phong hào đại thần, bước xuống thần đàn, tất thảy mọi thứ đều trở lại con số 0, vốn định gặp vị Nữ thần trong lòng mình, ai ngờ lại là cậu ta?! Vốn hai người ghét bỏ lẫn nhau mà lại ở từng thí luyện làm ràng buộc càng trở nên sâu sắc. Nguyệt Thần nhiệm vụ, khó giải xiềng xích, gặp lại đồng bạn cũ, một trận chiến đỉnh phong? Câu chuyện về trò chơi trực tuyến giả tưởng đan xen với thực tại, vì thủ hộ mà ràng buộc, người thiếu niên ấy đã tấu lên một bản Kiếm chi chiến ca! Một lần nữa lại lên đường!",04/09//2021,Chapter 18
32,Koisuru Sumaho-chan,"Comedy, Manga, Slice of Life",Đang tiến hành,57848,85,969,Đọc xong cái này làm chế không thể nhìn điện thoại của mình một cách bình thường được nữa,04/09//2021,Chapter 20
33,Trọng Sinh Chi Đích Nữ Bất Thiện,"Chuyển Sinh, Cổ Đại, Comedy, Drama, Manhua, Romance, Shoujo, Truyện Màu",Đang tiến hành,5393310,1903,24681,,04/09//2021,Chapter 83
34,Thú Hắc Cuồng Phi,"Cổ Đại, Drama, Manhua, Ngôn Tình, Truyện Màu",Đang tiến hành,9275653,2805,39252,,04/09//2021,Chapter 88
35,NPC Bắt Đầu Từ Kỹ Năng lv.999,"Action, Adventure, Manhwa, Truyện Màu",Đang tiến hành,343008,132,5946,,03/09//2021,Chapter 17
36,Hãy Khiến Tôi Ghét Cậu,"Đam Mỹ, Manga, Mystery, Romance",Đang tiến hành,921364,254,5922,"Để xem truyện sớm nhất, mọi người vui lòng vào Page: Tuyệt Thế Dưa Leo",03/09//2021,Chapter 17
37,Kỳ Thủ Cờ Vây,"Comedy, Drama, Historical, School Life, Shounen, Sports",Hoàn thành,5938020,243,2533,"Hikaru No Go
Truyện về một thằng bé. Xưa ơi là xưa thằng bé có tật chán đời hay than vãn và chê bai cờ vây là ""môn thể thao dành cho người già"".Một hôm cậu lên gác xếp gặp một bàn cờ vây đổ máu và... 1 hồn ma(đẹp trai) xuất hiện lải nhải về cờ vây!
Cậu sẽ làm gì, đi học cờ vây hay đi kiếm thầy trừ tà",06/07//2015,Chapter 189
38,Sonouchi Kekkon Made Ikukedo Ima Wa Mada,"Comedy, Ecchi, Manga, Romance, School Life, Seinen, Slice of Life",Đang tiến hành,58125,100,2029,"Quen nhau từ nhỏ, đến lúc thành cặp đôi và hẹn hò đã 5 năm, nhưng Ritsuho and Kyoichi chưa bao giờ trải nghiệm lần ""chim chuột"" nào. Ritsuho thì muốn mối quan hệ tiến xa hơn, vậy tại sao Kyoichi thì vẫn muốn dậm chân tại chỗ?",03/09//2021,Chapter 6
39,Cô Dâu Thảo Nguyên,"Drama, Historical, Manga, Romance, Seinen, Slice of Life",Đang tiến hành,986795,239,2713,"Ở Trung Á, trong 1 thị trấn nông thôn gần biển Caspian những năm đầu thế kỷ 19, Otoyomegatari là câu chuyện về 1 cô gái trẻ, Amira, người đến từ 1 ngôi làng xa xôi trên núi để kết hôn với Karluk, 1 cậu bé kém cô tới 8 tuổi. Câu chuyện xoay quanh đời sống gia đình hằng ngày của cô tại làng. Tuy nhiên, bầu không khí yên bình không được bao lâu thì gia đình Amira yêu cầu đưa cô trở lại làng của họ.",03/09//2021,Chapter 87
40,Charlotte,"Comedy, Drama, Manga, Romance, School Life, Sci-fi, Seinen, Slice of Life",Đang tiến hành,304938,563,3218,Một thằng đực rựa có khả năng siêu nhiên rồi thằng đấy dùng nó để làm đủ các thứ cho đến khi nó gặp con main,02/09//2021,Chapter 28
41,"Cuồng nhiệt boss, sủng thê xin kiềm chế","Comedy, Manhua, Ngôn Tình, Truyện Màu",Đang tiến hành,17606104,4943,30153,"Một buổi tiệc hào môn được thiết kế tỉ mỉ, chồng chưa cưới một gối quỳ xuống cầu hôn em gái cô, cô bị tước đoạt quyền kế thừa, biến thành lợi thế của đám hỏi tịch gia, mở đường vào miệng cọp. Trái tim cô ấy băng giá sắt thép, một dao xuyên thủng qua, chôn vùi tất cả ân tình, trong nháy mắt tìm tới anh ta-Mộ Dục Trần, khiêm tốn lạnh lùng, quyền lực nhất cả thiên hạ ở thành phố z này, là người nắm quyền cả tập đoàn Thịnh thế. Cô nói rằng Mộ Dục Thần, chúng ta kết hôn được không?",02/09//2021,Chapter 127
42,Beyond the Clouds,"Adventure, Fantasy, Manga, Shounen",Đang tiến hành,8427,14,499,"Tại thị trấn Vàng, nơi đông nghẹt thợ thủ công và các phân xưởng. Theo, một cậu bé mồ côi, chưa bao giờ rời thị trấn hay nhìn thấy các vì sao. Cậu luôn mơ ước được phiêu lưu như trong cuốn sách cậu hay đọc, nhưng cuối cùng cậu đành phải chấp nhận thực tại và làm việc tại Cửa hàng sửa chữa Chikuwa. Sau đó, cậu tìm thấy một cô bé với một đôi cánh duy nhất - một thiên thần bị thương và mất trí nhớ. Thế là cậu hứa với cô bé sẽ chế tạo một cái cánh khác cho cô và từ đó hai người bắt đầu chuyến phiêu lưu đầy thơ mộng của mình. Update các thông tin mới nhất của bộ truyện này tại Facebook của nhóm dịch:
 
Rosaline - The Manga Scanlation Group",02/09//2021,Chapter 9
43,Vợ yêu cưới trước sủng sau,"Comic, Manhua, Romance, Truyện Màu",Hoàn thành,21827817,11881,36943,"😽 Tên truyện : Vợ yêu cưới trước sủng sau 😽 Thể loại : Ngôn tình hiện đại 😽 Nội dung : Rõ ràng là một đại tiểu thư thứ xuất, nhưng lại phải lưu lạc bên ngoài nhiều năm. Bởi vì Hạ Tinh mà gia tộc tìm về để liên hôn chỉ là một con mèo hoang, cái gì mà thiếu gia của Mục gia, thịnh thế bạch liên hoa, chỉ cần ngươi dám chọc giận ta, thì đừng trách ta ra tay không khách sáo!",02/09//2021,Chapter 180
44,Tai Tiếng Thị Phi,"Drama, Manhwa, Romance, Truyện Màu, Webtoon",Đang tiến hành,1391723,390,7900,"Đại diện cho vẻ đẹp thuần khiết và là một nữ diễn viên nổi tiếng khắp đất nước Yeo Goein và một kẻ chuyên tạo scandal , Seo Beomi . Thật ra , giữa 2 người bọn họ có chung bí mật . Họ phải diễn như đôi bạn thân thiết nhất vì kế hoạch kinh doanh của Công ty . Hai người họ rất thân thiết và cảm nến nhau trên chương trình truyền hình thực tế "" BFF special "" , nhưng tất cả chỉ là diễn kịch . Ban đầu họ đối xử nhau như kẻ thù bất cứ khi nào họ gặp nhau . Nhưng khi vào vai diễn hai người trở nên thân thiết hơn và Goeun người lúc đầu không thích Beomi sau này lại có một chút tình cảm ... Beomi vẫn cứ tiếp cận Goein và không hề biết được là anh ta nhận ra cảm xúc của Goein đối với mình hay không? Hình bóng Beomi cứ xuất hiện trước mặt Goeun khi cô ta cần một giây cạnh bên, và hình ảnh cô thấy từ anh ta khi trong quán rượu trước khi ghi hình khiến đầu óc cô rối bời . Cô ấg đã nghĩ rằng anh ta là một người không nghiêm túc nhưng tình cảm Cô đã bị lay chuyển nhiều hơn khi anh ta cho cô thấy sự chân thành của mình . Cả hai người họ sẽ giải quyết những hiểu lầm để từ cặp đôi bạn thân nhất "" Fake BFFs "" thành người yêu thật không ?",02/09//2021,Chapter 77
45,Cục Gạch Xông Vào Dị Giới,"Action, Adventure, Comedy, Fantasy, Manhua, Truyện Màu",Đang tiến hành,1077066,475,8000,,02/09//2021,Chapter 61.5
46,Ta Muốn Ngao Du,"Manhua, Mystery, Truyện Màu, Xuyên Không",Đang tiến hành,102676,45,2141,,02/09//2021,Chapter 13
47,Biệt Đội Shinobi,"Action, Fantasy, Manga, Martial Arts, Sci-fi, Shounen",Đang tiến hành,59253,74,1337,"Tokyo, năm 2049... nhờ vào việc thông qua bộ luật ""Cải Cách Galapagos"" bởi chính phủ đương thời, giờ Nga, Trung Quốc, Mỹ và Nhật Bản đã được kết nối với nhau nhờ vào hệ thống Hyperloop. Chính bởi Chủ Nghĩa Đa Văn Hóa trên mà Tokyo đã biến thành một thành phố có tỉ lệ tội phạm cao nhất thế giới. Nhằm chống lại sự gia tăng của lũ tội phạm, những kẻ làm việc trong bóng tối kể từ thời Chiến Quốc đã được chiêu mộ... Bọn họ là... Shinobi!",02/09//2021,Chapter 10
48,Sumire 16 Sai !!,"Comedy, Manga, School Life, Shounen",Đang tiến hành,28238,22,192,Updating...,01/09//2021,Chapter 30
49,The Pale Horse,"Manhwa, Romance, Seinen, Supernatural",Đang tiến hành,20623,19,650,Đọc đi rồi biết~,01/09//2021,Chapter 13
50,Doushitemo Hametsushitakunai Akuyaku Reijou ga Gendai Heiki wo Te ni Shita Kekka ga Kore desu,"Action, Chuyển Sinh, Comedy, Fantasy, Shounen",Đang tiến hành,724089,815,7633,"Kể về một cô gái Military Otaku (Đam mê quân sự, quân đội), bị trở thành một cô bé (Loli) 4 tuổi, con gái của nhà Công Tước tại dị giới. Và cũng là một nhân vật phản diện trong trò Otome Game. 
Cũng như các bộ manga Otome Game khác, cô bé (Loli) cũng tìm cách để tránh Bad Ending như trong game.
Nói chung là bộ truyện này là về một cô bé (Loli) sỡ hữu sức mạnh vũ khí hiện đại tại dị giới.",01/09//2021,Chapter 26
51,Chiến tranh không có một khuôn mặt phụ nữ,"Drama, Historical, Manga, Tragedy",Đang tiến hành,81576,113,1366,"Lấy cảm hứng từ cuốn sách cùng tên “Chiến tranh không có một khuôn mặt phụ nữ” của nhà văn Svetlana Alexievich. Trong truyện, bà viết về hồi của những cô gái Soviet năm xưa qua lời kể của chính họ khi đã bước sang tuổi xế chiều. Hàng nghìn cô gái từ y tá, bác sĩ đến lính lái xe tăng, phi công, xạ thủ…đều sát cánh chiến đấu bên cạnh những người đàn ông. Sau chiến thắng, những nỗ lực và sự hi sinh của họ lại bị lãng quên…",01/09//2021,Chapter 11
